site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,source,estimate_Ts,year_removed,NEE,FC,TA,TS,SWC,SW_IN,USTAR,RH,VPD,comment,gStart,gEnd,SWC_use,netrad_column,estimate_ts_method,ts_col,ts_linear_domain,growing_year_start,ts_source
US-NR1,40.0329,-105.5464,3050,ENF,Dfc,800,AmeriFlux_BASE,NO,,FC_1_1_1 + SC_PI_F_1_1_1,,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN_PI_F_1_1_1,USTAR_PI_F_1_1_1,RH_PI_F_1_1_1,,,,,YES,,,TS_measured,,,gapfill_pi
US-WCr,45.8059,-90.0799,520,DBF,Dfb,787,AmeriFlux_BASE,NO,"2021, 2022",FC_1_1_1 + SC_PI_F_1_1_1,,TA_1_1_1,TS_PI_F_1_1_1,SWC_1_2_1,SW_IN,USTAR_PI_F_1_1_1,,VPD_PI_1_1_1,"super noisy, and negative ER data in 2021 and 2022",,,YES,,,TS_measured,,,sensor
US-UMB,45.5598,-84.7138,234,DBF,Dfb,803,AmeriFlux_BASE,NO,2016:2018,NEE_PI,FC,TA,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,,2016 not enough data; 2017 and 2018 noisy data and low accuracy; all the 3 years only measured for a few months,,,YES,,,TS_measured,,,sensor
US-MMS,39.3232,-86.4131,275,DBF,Cfa,1032,AmeriFlux_BASE,NO,,FC_1_1_1,,TA_1_1_1,TS_2_1_1,SWC_PI_1,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,YES,,,TS_measured,,,sensor
US-PFa,45.9459,-90.2723,470,MF,Dfb,823,AmeriFlux_BASE,YES,,FC_1_1_1 + SC_1_1_1,,TA_PI_F_1_3_1,TS_1_1_1,SWC_1_1_1,PPFD_IN_1_1_1,USTAR_PI_F_1_3_1,,VPD_PI_F_1_3_1,,,,NO,,,TS_measured,,,reconstructed
US-Syv,46.242,-89.3477,540,MF,Dfb,826,AmeriFlux_BASE,NO,2012,NEE_PI,FC_1_1_1,TA_1_1_1,TS_PI_F_1_1_1,SWC_1_1_1,SW_IN_1_1_1,USTAR_1_1_1,,VPD_PI_F_1_1_1,2012 only measured a few months,,,YES,,,TS_measured,,,sensor
US-Whs,31.7438,-110.0522,1370,OSH,Bsk,320,AmeriFlux_BASE,NO,,FC,,TA_1_2_1,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH_1_1_1,,,,,YES,,,TS_measured,,,sensor
US-ICt,68.6063,-149.3041,930,OSH,ET,318,AmeriFlux_BASE,NO,2021,FC,,TA_PI_F,TS_1_1_1,SWC_1_1_1,SW_IN_PI_F,USTAR,RH_PI_F,,2021:abnormal data; negative values,,,NO,,,TS_linear,ac,,sensor
US-ICh,68.6068,-149.2958,940,OSH,ET,318,AmeriFlux_BASE,NO,2022,FC,,TA_PI_F,TS_1_1_1,SWC_1_1_1,SW_IN_PI_F,USTAR,RH_PI_F,,2022 data is not enough in peak growing season,,,NO,,,TS_measured,,,gapfill_pi
US-ICs,68.6058,-149.311,920,WET,ET,318,AmeriFlux_BASE,NO,"2008,  2012, 2013, 2022",FC,,TA_PI_F,TS_1_1_1,SWC_1_1_1,SW_IN_PI_F,USTAR,RH_PI_F,,2012: abnormal data; other three years too little data,,,NO,,,TS_measured,,,gapfill_pi
US-SRG,31.7894,-110.8277,1291,GRA,Bsk,420,AmeriFlux_BASE,YES,,FC,,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH_1_1_1,,,,,YES,NETRAD,NETRAD,TS_measured,,,reconstructed
US-IB2,41.8406,-88.241,226.5,GRA,Dfa,930.25,AmeriFlux_BASE,NO,,FC,,TA,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,,,,,NO,,,TS_linear,ac,,sensor
US-Kon,39.0824,-96.5603,417,GRA,Cfa,867,AmeriFlux_BASE,NO,,FC_1_1_1,,TA_1_1_1,TS_2_1_1,SWC_2_1_1,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,NO,,,TS_linear,ac,,sensor
US-MOz,38.7441,-92.2,219.4,DBF,Cfa,986,AmeriFlux_BASE,NO,,FC_1_1_1 + SC_1_1_1,,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,YES,,,TS_measured,,,sensor
US-NC2,35.803,-76.6685,5,ENF,Cfa,1320,AmeriFlux_BASE,NO,,FC_1_1_1,,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,long-growing season,,,NO,,,TS_measured,,,sensor
US-Bar,44.0646,-71.2881,272,DBF,Dfb,1245.77,AmeriFlux_BASE,NO,,FC_1_1_1,,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,YES,,,TS_linear,ac,,sensor
CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,AmeriFlux_BASE,NO,,FC + SC,,TA,TS_2,SWC_2,SW_IN,USTAR,RH,,,,,YES,,,TS_measured,,,sensor
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,AmeriFlux_BASE,NO,,FC + SC,,TA_PI_F_1_1_1,TS_PI_F_1,SWC_1_1_1,SW_IN_PI_F,USTAR,RH_PI_F_1_1_1,,,,,YES,,,TS_linear,ac,,sensor
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,AmeriFlux_BASE,NO,,FC + SC,,TA_PI_F,TS_PI_F_1,SWC_1_1_1,PPFD_IN_PI_F,USTAR,RH_PI_F,,,,,YES,,,TS_linear,ac,,sensor
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,AmeriFlux_BASE,YES,,NEE_PI,FC,TA_1_1_1,TS_1_1_1,,PPFD_IN,USTAR,RH,,,,200,NO,NETRAD,NETRAD,TS_measured,,,reconstructed
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,AmeriFlux_BASE,NO,,FC + SC,,TA,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,,,52,250,YES,,,TS_measured,,,sensor
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,AmeriFlux_BASE,NO,,NEE_PI,FC,TA_PI_F_1,TS_PI_F_1,SWC_PI_F_1,SW_IN_PI_F_1,USTAR,RH_1_1_1,,,32,310,YES,,,TS_measured,,,sensor
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,AmeriFlux_BASE,NO,,NEE_PI,FC,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH_1_1_1,,,148,,YES,,,TS_linear,ac,,sensor
CA-Obs,53.9872,-105.1178,628.94,ENF,Dfc,405.6,AmeriFlux_BASE,NO,,FC + SC,,TA,TS_2,SWC_2,SW_IN,USTAR,RH,,,,,YES,,,TS_linear,ac,,sensor
CA-Ojp,53.9163,-104.692,579,ENF,Dfc,430.5,AmeriFlux_BASE,NO,,NEE_PI,FC,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH_1_1_1,,,,,YES,,,TS_measured,,,sensor
US-Jo2,32.5849,-106.6032,1469,OSH,Bwk,282.3,AmeriFlux_BASE,NO,,FC,,TA,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH,,adjust start growing season to use 2020 which has gaps in Jan-March,65,,YES,,,TS_linear,ac,,sensor
US-MtB,32.416,-110.7256,2573,ENF,Csb,790,AmeriFlux_BASE,NO,,FC,,TA_1_1_1,TS_1_1_1,SWC_1_1_1,SW_IN,USTAR,RH_1_1_1,,"adjust start growing season because ENF GPP starts early, but ER start later",60,,NO,,,TS_measured,,,sensor
US-LL1,31.2792,-84.5329,165,SAV,Cfa,1310,AmeriFlux_BASE,NO,,NEE_PI_F,FC,TA,TS_1_1_1,SWC,SW_IN_PI_F,USTAR,RH,,,66,180,YES,,,TS_linear,ac,,sensor
US-BZB,64.6955,-148.3208,100,WET,Dfd,274,AmeriFlux_BASE,NO,,FC,,TA_PI_F,TS_PI_1,SWC_PI_1,SW_IN,USTAR,RH,,,,,NO,,,TS_linear,ac,,sensor
US-BZF,64.7013,-148.3121,95,WET,Dfd,274,AmeriFlux_BASE,NO,,FC,,TA_PI_F,TS_PI_1,SWC_PI_1,SW_IN,USTAR,RH,,,,,NO,,,TS_linear,ac,,sensor
US-KL2,42.4768,-85.4468,258.3,GRA,Dfa,1027,AmeriFlux_BASE,NO,,FC,,TA_PI_F,TS_1_1_1,SWC,SW_IN_PI_F,USTAR,RH_PI_F,,,,,YES,,,TS_linear,ac,,sensor
US-Ro4,44.6781,-93.0723,274,GRA,Dfa,879,AmeriFlux_BASE,NO,,FC + SC,,TA,TS_1_1_1,SWC,SW_IN,USTAR,RH,,,,,NO,,,TS_measured,,,sensor
US-KM4,42.4423,-85.3301,246.3,GRA,Dfa,1027,AmeriFlux_BASE,NO,,FC,,TA_PI_F,TS_1_1_1,SWC,SW_IN,USTAR,RH_PI_F,,,,,YES,,,TS_measured,,,sensor
US-MBP,47.5051,-93.4893,416,WET,Dfb,780,AmeriFlux_BASE,NO,,FC,,TA,TS_1_1_1,,PPFD_IN,USTAR,RH,,,,,NO,,,TS_linear,ac,,gapfill_ta
US-Myb,38.0499,-121.765,-4,WET,Csa,338,AmeriFlux_BASE,NO,"2012, 2013",FC,,TA,TS_2_1_1,,PPFD_IN_1_1_1,USTAR,RH,,"ER of 2012 and 2013 is unreasonably high, remove the two years; wetlands reconstructed in 2010, and first few years data was not natural.",,,NO,,,TS_linear,ac,,sensor
US-NC4,35.7879,-75.9038,1,WET,Cfa,1311,AmeriFlux_BASE,NO,,NEE_PI_1_1_1,FC_1_1_1,TA_1_1_1,TS_1_2_1,SWC_1_1_1,PPFD_IN_1_1_1,USTAR_1_1_1,RH_1_1_1,,,,,NO,,,TS_linear,ac,,sensor
US-Tw1,38.1074,-121.6469,-5,WET,Csa,421,AmeriFlux_BASE,NO,,FC,,TA,TS_PI_1,,SW_IN,USTAR,RH,,,,,NO,,,TS_linear,night,,sensor
